transaction_id,user_id,amount,transaction_type_ATM,transaction_type_Online,transaction_type_POS,transaction_type_QR,merchant_category_Clothing,merchant_category_Electronics,merchant_category_Food,merchant_category_Grocery,merchant_category_Travel,country_DE,country_FR,country_NG,country_TR,country_UK,country_US,hour,device_risk_score,ip_risk_score,is_fraud
8826,620,113,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,9,14,3,0
8257,600,131,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,18,3,4,0
9933,121,4284,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,12,73,73,1
9035,358,76,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,7,9,18,0
7468,688,138,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,17,10,20,0
464,832,133,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,15,5,9,0
599,155,17,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,7,1,17,0
3094,200,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,9,10,18,0
8745,865,154,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,9,16,3,0
2730,375,103,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,17,20,14,0
4155,826,54,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,22,9,1,0
4298,847,91,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,18,26,13,0
9139,769,135,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,16,7,8,0
3983,271,64,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,16,1,24,0
8777,568,117,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,10,12,29,0
2140,719,174,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,6,16,21,0
3084,161,98,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,19,19,5,0
7706,557,101,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,15,7,16,0
7574,421,138,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,8,26,15,0
4233,561,118,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,15,1,5,0
3826,920,109,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,8,5,2,0
8966,430,140,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,9,1,10,0
5329,968,120,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,19,8,22,0
6819,927,50,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,12,28,21,0
1711,813,173,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,9,0,9,0
8484,879,53,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,19,26,9,0
7710,984,26,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,17,25,10,0
4048,798,79,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8,1,14,0
4570,566,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,20,21,23,0
5474,94,123,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,12,21,5,0
4669,656,90,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,19,15,25,0
2459,900,49,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,10,26,6,0
8065,822,91,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,16,13,27,0
2577,71,127,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,15,21,12,0
3055,29,115,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,12,22,24,0
7148,370,159,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,15,18,27,0
7100,122,5,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15,4,10,0
9046,904,139,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,18,3,16,0
6599,550,122,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,13,0,12,0
7821,289,165,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,18,7,22,0
4263,81,132,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,10,9,16,0
2421,851,47,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,22,16,5,0
9424,180,101,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,23,24,7,0
858,422,107,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,23,17,7,0
2617,886,91,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,16,23,26,0
6602,687,138,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,7,6,7,0
7364,864,103,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,14,11,20,0
8924,383,115,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,9,24,4,0
5516,236,108,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,17,0,6,0
430,644,101,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,2,16,0
780,963,124,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,10,5,5,0
3134,313,136,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,6,11,1,0
6656,225,96,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,21,1,1,0
1619,469,11,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,15,1,14,0
6718,671,76,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,6,13,21,0
4444,573,46,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,19,18,10,0
4224,49,55,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6,8,13,0
4045,196,169,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,15,7,24,0
8807,399,136,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,21,26,15,0
5198,935,91,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,20,16,10,0
4094,466,209,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,19,13,11,0
9468,739,50,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,12,11,20,0
8627,507,101,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,7,12,5,0
9637,560,1148,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,19,94,83,1
4098,541,123,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,7,21,22,0
4554,390,184,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,13,2,20,0
9711,935,952,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,20,78,98,1
5481,532,104,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,6,19,10,0
9939,291,2865,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,13,83,90,1
2670,770,94,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,8,6,5,0
6904,310,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,14,11,20,0
5261,594,32,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,17,14,6,0
5119,413,78,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,17,23,12,0
1286,384,87,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,17,17,0,0
3477,282,122,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,13,24,18,0
7000,992,74,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,6,24,4,0
4910,471,200,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,20,17,1,0
7867,362,97,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,9,0,25,0
2909,26,111,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,11,5,2,0
3556,116,84,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,6,10,19,0
1062,438,104,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,16,18,18,0
7850,966,96,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,6,29,3,0
3658,332,75,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,20,10,27,0
5505,192,36,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7,8,5,0
8275,596,102,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,23,0,11,0
7595,666,90,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,7,24,11,0
9723,631,2830,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,4,92,74,1
5772,258,95,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10,16,12,0
5378,707,146,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,6,29,19,0
6053,258,65,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,11,14,29,0
7396,309,103,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,13,28,16,0
20,733,133,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,16,18,27,0
170,590,58,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,12,3,6,0
641,605,82,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,20,15,18,0
3354,920,82,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,23,29,20,0
1423,194,99,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,22,15,13,0
2254,824,190,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,18,23,6,0
1640,649,128,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,18,2,23,0
7264,52,184,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,16,28,15,0
9223,554,116,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,7,19,13,0
9507,706,2705,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,10,76,80,1
6208,457,91,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,11,5,18,0
9248,355,95,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,15,3,18,0
1004,140,28,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,8,13,14,0
4876,773,80,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,13,28,17,0
1049,777,147,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,12,12,26,0
7330,393,11,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,16,17,8,0
5266,3,168,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,11,2,20,0
6209,546,135,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,6,14,16,0
1515,193,124,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8,2,14,0
4154,221,141,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,19,28,15,0
1078,833,56,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,16,15,15,0
4650,511,141,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,21,2,11,0
4181,730,170,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,12,19,21,0
8490,752,186,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,8,3,20,0
4305,481,88,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,17,1,26,0
2148,184,166,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,18,2,10,0
6610,49,120,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,15,20,11,0
4346,131,99,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9,19,6,0
2021,375,149,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,16,12,13,0
6992,603,96,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,19,22,17,0
7122,951,126,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,11,15,2,0
8520,667,152,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,10,5,14,0
7995,854,96,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,2,5,0
4436,966,202,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,20,14,11,0
5807,366,22,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,11,29,7,0
2714,92,147,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,6,20,10,0
9984,63,2995,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,11,86,88,1
7375,234,167,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,10,8,10,0
251,809,141,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,22,10,5,0
9820,840,10,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,18,74,90,1
9929,735,2400,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,15,98,98,1
3481,657,80,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,11,15,29,0
9701,64,1489,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,14,78,70,1
3952,44,92,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,8,3,26,0
7112,904,41,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,7,28,13,0
3741,708,103,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,20,0,19,0
5296,433,151,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,19,4,15,0
9795,537,22,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,99,92,1
1956,267,93,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,2,4,0
8908,282,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,13,24,6,0
5878,69,167,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,22,27,17,0
6637,662,70,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,7,21,22,0
2984,414,64,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,10,7,8,0
5182,709,90,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,20,3,16,0
6129,215,74,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,18,17,17,0
4067,593,102,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,19,9,13,0
4006,66,177,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,18,22,20,0
5227,311,27,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,10,16,16,0
4087,216,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,7,23,1,0
5935,791,88,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,12,11,24,0
1051,344,56,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,9,22,22,0
4121,547,137,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,19,22,14,0
2322,667,111,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,22,28,16,0
1278,206,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,10,22,23,0
2009,35,125,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,17,18,10,0
2262,842,171,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,20,16,0
239,784,65,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,7,23,6,0
3199,846,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,21,5,7,0
5197,486,36,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,13,13,5,0
2889,781,128,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,14,28,9,0
5434,690,64,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7,6,9,0
2581,508,19,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,8,21,16,0
8204,891,25,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,11,9,0,0
5352,473,176,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,15,0,12,0
5148,203,184,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,15,16,5,0
2879,803,107,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,12,19,25,0
6626,973,158,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,18,27,21,0
9728,572,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,16,84,79,1
814,660,64,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,11,13,12,0
8226,896,102,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,15,6,26,0
8156,540,134,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,6,28,4,0
4812,139,109,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,11,2,29,0
7788,627,148,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,14,5,3,0
7343,773,111,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,8,18,3,0
4026,507,91,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,23,8,16,0
316,117,101,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,23,16,2,0
5012,241,92,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,17,21,18,0
8314,441,65,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,12,4,29,0
1635,954,14,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,22,10,24,0
2906,20,105,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,22,1,16,0
7826,127,77,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,10,4,23,0
1848,510,110,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,17,2,10,0
6186,762,65,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,21,17,7,0
4474,886,98,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,18,16,16,0
560,570,162,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,7,0,22,0
4685,93,48,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,19,25,4,0
9500,438,1927,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,21,99,79,1
2985,338,102,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,23,4,10,0
4996,128,77,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,17,6,20,0
4499,679,23,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,12,7,18,0
383,518,148,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,10,1,6,0
7817,343,135,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,23,13,17,0
9345,600,128,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,18,0,17,0
9211,601,86,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,10,9,8,0
1041,467,84,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,11,25,10,0
8650,76,51,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,14,8,18,0
3464,177,40,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,10,25,23,0
6571,537,107,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,10,9,19,0
3567,682,71,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,10,25,14,0
2597,25,33,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,7,2,8,0
2858,878,163,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,8,21,18,0
4107,721,36,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,13,13,2,0
4195,483,161,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,23,26,0,0
4821,747,31,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,19,6,6,0
6518,947,73,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,20,29,8,0
4603,179,38,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,13,27,10,0
5156,782,177,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,22,8,3,0
7602,880,96,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,5,23,0
9307,63,143,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,12,18,29,0
9575,622,1110,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,97,83,1
2344,569,101,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,10,29,16,0
2379,183,103,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,11,5,18,0
3176,598,123,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,20,28,1,0
7796,604,23,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,13,21,14,0
9138,110,111,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,17,28,4,0
3299,210,99,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,23,17,24,0
5656,199,182,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,11,23,22,0
1781,767,81,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,10,3,27,0
8105,809,149,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,12,19,28,0
688,660,129,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,23,0,28,0
9119,684,104,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,15,15,1,0
2963,953,56,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,7,16,29,0
4977,873,95,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,19,7,27,0
842,868,111,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,21,15,8,0
5231,877,186,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,22,4,5,0
71,684,88,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,9,18,25,0
4538,339,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,10,21,0,0
6903,59,29,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,16,16,17,0
6091,301,81,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,10,6,18,0
1077,366,72,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,10,24,27,0
9754,616,1094,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,9,99,89,1
8773,486,93,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,23,12,2,0
3702,24,118,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,17,6,15,0
5176,354,91,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,22,5,24,0
8888,256,115,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,18,5,25,0
6462,641,49,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,6,4,21,0
3102,59,26,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,10,9,9,0
7899,960,7,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,22,2,9,0
2052,824,75,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,14,8,9,0
6723,214,101,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,8,7,22,0
7907,438,89,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,19,13,23,0
434,433,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,20,20,3,0
3457,426,137,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,15,25,2,0
987,887,65,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,16,29,16,0
5612,364,97,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,9,16,27,0
8510,680,64,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,6,2,20,0
4819,893,6,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,18,29,14,0
1122,880,75,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,6,18,26,0
4955,636,95,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,14,13,28,0
6092,30,59,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,15,2,17,0
9200,243,47,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,6,22,15,0
4352,58,106,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,14,6,1,0
5596,610,97,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,20,28,3,0
2422,139,129,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,15,22,5,0
29,326,82,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,17,19,0
804,378,54,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,18,13,1,0
4614,125,64,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,13,14,14,0
2965,988,131,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,9,6,16,0
5276,419,44,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,17,11,9,0
9036,918,164,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,10,1,10,0
5723,313,21,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,17,15,28,0
5247,567,131,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,12,8,21,0
5774,868,167,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,17,26,25,0
5491,693,55,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,19,23,16,0
3343,327,93,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,7,11,26,0
9478,503,143,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,12,14,14,0
1433,757,114,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,6,14,1,0
2698,732,50,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,12,16,25,0
5858,808,55,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,23,13,16,0
9347,792,128,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,9,28,13,0
7584,391,141,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,18,20,10,0
7243,304,110,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,10,0,12,0
6405,721,121,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,20,4,27,0
5642,821,38,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,7,18,21,0
7209,312,58,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,8,11,9,0
8989,294,67,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,15,3,8,0
7730,218,122,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,21,15,14,0
9566,461,3444,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,78,92,1
9369,443,109,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,17,13,17,0
912,700,170,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,18,21,13,0
4443,610,158,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,11,14,2,0
6745,598,87,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,6,21,28,0
